#main core	Density	size	time taken
1	0.5	2	0.004
1	0.5	3	0.0
1	0.5	4	0.001
1	0.5	5	0.0
1	0.5	6	0.001
1	0.5	7	0.001
1	0.5	8	0.001
1	0.5	9	0.001
2	1.0	3	0.002
2	1.0	4	0.002
2	1.0	5	0.001
2	1.0	5	0.001
2	1.0	5	0.002
2	1.0	4	0.001
2	1.0	6	0.002
2	1.0	5	0.002
2	1.0	6	0.002
2	1.0	6	0.002
2	1.0	5	0.002
2	1.0	5	0.002
2	1.0	6	0.001
3	1.5	4	0.002
3	1.5	5	0.001
3	1.5	5	0.001
3	1.5	5	0.002
3	1.5	4	0.002
3	1.5	4	0.002
3	1.5	4	0.002
2	1.0	5	0.002
2	1.0	4	0.001
2	1.0	4	0.001
2	1.0	4	0.001
2	1.0	3	0.002
2	1.0	3	0.001
2	1.0	3	0.001
2	1.0	3	0.001
2	1.0	3	0.001
2	1.0	5	0.001
2	1.0	7	0.002
2	1.0	7	0.002
3	1.5	4	0.001
3	1.5	4	0.003
3	1.5	4	0.001
