#main core	Density	size	nodes	time taken
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
0	0.0	0	[]	0.0
