#main core	Density	size	time taken
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
0	0.0	0	0.0
